Rank,Club,P,+/-,M,W,D,L,F,A
1,Man City,93,73,38,29,6,3,99,26
2,Liverpool,92,68,38,28,8,2,94,26
3,Chelsea,74,43,38,21,11,6,76,33
4,Spurs,71,29,38,22,5,11,69,40
5,Arsenal,69,13,38,22,3,13,61,48
6,Man Utd,58,0,38,16,10,12,57,57
7,West Ham,56,9,38,16,8,14,60,51
8,Leicester,52,3,38,14,10,14,62,59
9,Brighton,51,-2,38,12,15,11,42,44
10,Wolves,51,-5,38,15,6,17,38,43
11,Newcastle,49,-18,38,13,10,15,44,62
12,Crystal Palace,48,4,38,11,15,12,50,46
13,Aston Villa,45,-2,38,13,6,19,52,54
14,Southampton,40,-24,38,9,13,16,43,67
15,Everton,39,-23,38,11,6,21,43,66
16,Burnley,34,-19,37,7,13,17,34,53
17,Brentford,26,-4,20,8,2,10,27,31
18,Leeds,22,-19,20,6,4,10,24,43
19,Watford,22,-43,37,6,4,27,34,77
20,Norwich,22,-61,38,5,7,26,23,84
